"id","eventtime","status","x1","x2","x3","x4","x5"
48,3,1,0,1,1,7.22180196861577,1.2801934193178
49,2,1,1,1,0,10.1680423384725,2.14675781718346
50,2,1,1,0,0,9.83734725659315,-1.44030511073637
51,2,1,1,0,1,8.2613096085588,-0.355865452433147
52,2,1,1,1,1,10.1723726262102,-0.646278773665645
53,3,1,0,0,1,10.9291591785357,0.997313460913384
54,2,1,1,0,1,12.4379757582616,-0.716720145287747
55,2,1,1,0,0,12.3431651741095,0.585365120623346
56,3,1,0,0,0,11.8346560845433,0.23670897775147
57,2,1,1,0,0,10.1392273791526,-0.525331381895431
58,3,1,0,0,0,8.76260667284541,-0.70580885641385
59,3,1,1,1,1,11.4883067364679,-1.15611194497056
60,2,1,1,1,0,12.0375437134755,0.0302435596279316
61,1,1,1,1,1,9.08597528775573,0.848745385343743
62,3,1,1,0,0,11.0756452910912,1.74093604435313
63,2,1,1,0,0,7.69393917534327,0.113990441477043
64,1,1,0,1,1,10.8194334018836,0.567410562861769
65,2,1,1,0,1,10.3155146930696,0.763790165874829
66,2,1,0,0,1,12.378565891148,0.231816492620306
67,1,1,1,1,0,10.1528149936603,0.0404302718634748
68,3,1,0,1,0,8.34751570503968,-1.15523575102266
69,2,1,0,1,1,13.2509725422168,-1.49849868365563
70,3,1,0,0,0,10.463627954182,-1.72357684110871
71,4,1,1,0,0,10.2049317786785,0.973755719743431
72,4,1,0,0,1,9.20200458567253,-0.72563759021631
73,2,1,1,1,1,12.0031055286627,-0.355506703234066
74,1,1,1,1,1,8.8717046425895,-0.562004212947621
75,3,1,1,1,0,8.76610120778662,0.1769177605702
76,1,1,1,0,0,8.22861323641208,1.44225323589747
77,2,1,1,1,1,10.0786889859043,0.0914212926567499
78,1,1,1,0,1,13.3079458996506,-1.86563660685228
79,2,1,0,0,1,12.3684284328349,1.47186813118163
80,2,1,0,1,1,6.80710644604185,-0.221235991319592
81,3,1,0,1,1,11.4836349383489,0.253957304445918
82,3,1,0,1,0,10.7226866071574,-0.477758609745316
83,4,1,0,1,1,8.54821054575433,-0.124335218727087
84,3,1,0,0,0,9.41058555726646,0.779725709971515
85,3,1,1,0,0,13.2287228903265,-1.46202156957317
86,3,1,1,0,0,7.98044510037833,1.78500498752716
87,3,1,0,1,1,8.2574364333017,0.289607626242556
88,2,1,0,1,1,13.3633788414747,0.392248553293078
89,4,1,0,1,1,9.60529862677103,-0.735819147137457
90,3,1,0,1,1,10.1965147269891,-0.0611832589541991
91,2,1,1,1,0,9.0212696640907,-0.425298771535967
92,2,1,0,0,1,12.2825281629196,0.893766542345602
93,2,1,0,1,1,7.56803828878142,0.00533620562285867
94,2,1,0,1,1,9.32871586950576,1.12453160855008
95,2,1,0,0,0,9.00628909535828,0.614702023025796
96,2,1,1,1,1,9.94934085536175,0.336902152281975
97,0,1,1,1,0,10.0014345494264,0.812320826473763
98,3,1,0,0,1,11.6341606535655,-1.68926879493744
99,2,1,1,1,1,10.7712863296782,-0.79510715803214
100,3,1,0,1,0,10.7654199760656,-1.58875949706241
